time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.606,0.8770101,0.8914192,0.01897,0.02082962,-0.014409065,-0.0018596202
0.608,0.7725301,0.790586,0.014589,0.016604481,-0.018055916,-0.0020154817
0.61,0.63785005,0.65864754,0.0099972,0.012083865,-0.020797491,-0.0020866646
0.612,0.47151995,0.4932077,0.0052218996,0.007287844,-0.021687746,-0.0020659445
0.614,0.27235007,0.2922516,0.00025982037,0.0022586202,-0.019901514,-0.0019987999
0.616,0.03722298,0.054543972,-0.0045998003,-0.0029862076,-0.01732099,-0.0016135927
0.618,-0.22877002,-0.22193933,-0.009904999,-0.008101646,-0.0068306923,-0.0018033534
0.62,-0.52932,-0.5297812,-0.015038002,-0.01354707,0.00046122074,-0.001490932
0.622,-0.85932,-0.86977124,-0.019710999,-0.018510673,0.010451257,-0.0012003258
0.624,-1.2187,-1.234848,-0.022422,-0.0224846,0.016147971,6.259978e-05
0.626,-1.6006,-1.6243249,-0.024588,-0.023829035,0.023724914,-0.00075896457
0.628,-2.0024,-2.0308714,-0.025307,-0.024204846,0.02847147,-0.0011021532
0.63,-2.4158,-2.448705,-0.024544,-0.023505002,0.032904863,-0.0010389984
0.632,-2.8337,-2.86584,-0.022387002,-0.022186302,0.032140017,-0.00020070001
0.634,-3.249,-3.274211,-0.020055998,-0.020074327,0.025210857,1.8328428e-05
0.636,-3.6544,-3.6703207,-0.017417002,-0.018078584,0.015920639,0.00066158175
0.638,-4.0438,-4.0523415,-0.015866999,-0.015820224,0.008541584,-4.6774745e-05
0.64,-4.4126,-4.4167805,-0.013780002,-0.014580786,0.0041804314,0.0008007847
0.642,-4.7552,-4.758333,-0.011977,-0.012792196,0.003133297,0.00081519596
0.644,-5.0681,-5.0704956,-0.010439999,-0.011309011,0.0023956299,0.0008690115
0.646,-5.3492994,-5.349376,-0.0099231005,-0.010079822,7.677078e-05,0.0001567211
0.648,-5.5949,-5.5933285,-0.008824,-0.009788731,-0.0015716553,0.000964731
0.65,-5.8037996,-5.7991114,-0.007906001,-0.008760909,-0.004688263,0.00085490756
0.652,-5.9747,-5.9674006,-0.007149201,-0.0077675134,-0.007299423,0.0006183125
0.654,-6.1068,-6.09896,-0.0065340996,-0.0068705324,-0.007840157,0.00033643283
0.656,-6.1998997,-6.1943865,-0.0060409997,-0.0061370283,-0.005513191,9.602867e-05
0.658,-6.2543,-6.2536697,-0.0056489,-0.005586017,-0.0006303787,-6.28829e-05
0.66,-6.2706995,-6.276473,-0.0053352006,-0.005191544,0.0057735443,-0.0001436565
0.662,-6.2501993,-6.2626686,-0.0050759,-0.0049149357,0.012469292,-0.0001609642
0.664,-6.1942997,-6.212718,-0.0048458,-0.0047258735,0.018418312,-0.00011992641
0.666,-6.1048,-6.1278267,-0.0046186,-0.004603952,0.023026466,-1.4647841e-05
0.668,-5.9837,-6.009923,-0.0043675005,-0.0045282617,0.026223183,0.00016076118
0.67,-5.8331995,-5.8615484,-0.0040643997,-0.004458163,0.028348923,0.00039376318
0.672,-5.6559,-5.6857066,-0.0036805999,-0.0043109953,0.029806614,0.0006303955
0.674,-5.4542,-5.4858007,-0.0031850003,-0.003970515,0.031600952,0.0007855147
0.676,-5.2308,-5.2646885,-0.0025430005,-0.0033379793,0.03388834,0.0007949788
0.678,-4.9883003,-5.0246687,-0.001714401,-0.0023711734,0.03636837,0.0006567724
0.68,-4.7293005,-4.7670574,-0.0006510392,-0.0010418799,0.03775692,0.0003908407
0.682,-4.4565,-4.4941063,0.0007066298,0.00072416104,0.03760624,-1.7531216e-05
0.684,-4.1722,-4.2093267,0.0024317,0.0029564584,0.03712654,-0.00052475836
