Time_s,Current_A,CoilForce_N,WeightLoad_N,NetForce_N,Displacement_mm
0.3144,0.2,0.025646,0.025637,8.99999999999859e-06,4.50578648429586
0.3152,0.2,0.025617,0.025637,-1.99999999999992e-05,4.50730887581164
0.316,0.2,0.025588,0.025637,-4.90000000000004e-05,4.50878643263706
0.3168,0.2,0.02556,0.025637,-7.70000000000007e-05,4.51021500373226
0.3176,0.2,0.025533,0.025637,-0.000104,4.51159073137514
0.3184,0.2,0.025508,0.025637,-0.000129000000000001,4.51291005680996
0.3192,0.2,0.025483,0.025637,-0.000154000000000001,4.51416972464525
0.32,0.2,0.02546,0.025637,-0.000177,4.51536678602613
0.3208,0.2,0.025438,0.025637,-0.000199000000000001,4.51649860060955
0.3216,0.2,0.025418,0.025637,-0.000219,4.51756283737371
0.3224,0.2,0.025398,0.025637,-0.000239,4.51855747429647
0.3232,0.2,0.025381,0.025637,-0.000255999999999999,4.51948079693945
0.324,0.2,0.025364,0.025637,-0.000272999999999999,4.52033139597748
0.3248,0.2,0.025349,0.025637,-0.000288,4.52110816371499
0.3256,0.2,0.025336,0.025637,-0.000300999999999999,4.52181028963281
0.3264,0.2,0.025324,0.025637,-0.000313000000000001,4.52243725501052
0.3272,0.2,0.025313,0.025637,-0.000324000000000001,4.52298882667114
0.328,0.2,0.025304,0.025637,-0.000333,4.52346504989625
0.3288,0.2,0.025296,0.025637,-0.000341000000000001,4.52386624056029
