Time_s,Current_A,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsTestingSample
0.1272,0.2,4.05535360896607,4.061673,-0.006319555,0.035474,0.03483751,0.0006364858,1,0
0.128,0.2,4.06615712046445,4.069973,-0.003815395,0.035216,0.03470024,0.0005157628,1,0
0.1288,0.2,4.07797381931457,4.079795,-0.001821064,0.034935,0.0345354,0.0003996032,1,0
0.1296,0.2,4.09108619655797,4.09105,3.652538e-05,0.034624,0.03434414,0.0002798558,1,0
0.1304,0.2,4.1055265887537,4.104026,0.001500271,0.034284,0.03410981,0.0001741915,1,0
0.1312,0.2,4.12124038672463,4.117136,0.004104862,0.033915,0.03384421,7.078607e-05,1,0
0.132,0.2,4.13814170319925,4.131411,0.006731105,0.03352,0.03355588,-3.588391e-05,1,0
0.1328,0.2,4.1561326209184,4.146762,0.009370727,0.033102,0.03324624,-0.0001442378,1,0
0.1336,0.2,4.17511011306804,4.1631,0.01201035,0.032665,0.03291671,-0.0002517135,1,0
0.1344,0.2,4.19496878893748,4.180335,0.01463422,0.032211,0.03256875,-0.0003577528,1,0
0.1352,0.2,4.21560221939357,4.198379,0.01722366,0.031743,0.03220381,-0.0004608122,1,0
0.136,0.2,4.23690376965187,4.217144,0.01975928,0.031265,0.03182333,-0.0005583334,1,0
0.1368,0.2,4.25876724893742,4.236548,0.02221883,0.030779,0.03142876,-0.000649758,1,0
0.1376,0.2,4.28108747802188,4.256507,0.02458056,0.030287,0.03102151,-0.0007345149,1,0
0.1384,0.2,4.30376080556099,4.27694,0.02682046,0.029794,0.03060301,-0.000809014,1,0
0.1392,0.2,4.32668558104456,4.297771,0.02891508,0.029301,0.03017465,-0.0008736465,1,0
0.14,0.2,4.34976258502093,4.318923,0.03083959,0.02881,0.02973779,-0.0009277855,1,0
0.1408,0.2,4.37289541556031,4.34052,0.03237503,0.028324,0.02929356,-0.0009695558,1,0
0.1416,0.2,4.3959908300839,4.365901,0.03008984,0.027845,0.02883932,-0.0009943162,1,0
0.1424,0.2,4.41895904245099,4.391441,0.0275177,0.027374,0.02838052,-0.001006522,1,0
0.1432,0.2,4.44171397610153,4.417069,0.02464502,0.026913,0.02791847,-0.001005471,1,0
0.144,0.2,4.46417347491063,4.439044,0.02512948,0.026464,0.02747906,-0.001015058,1,0
0.1448,0.2,4.48625947414045,4.458001,0.02825834,0.026028,0.0270512,-0.001023197,1,0
0.1456,0.2,4.5078981344376,4.475861,0.03203754,0.025605,0.02662497,-0.001019968,1,0
0.1464,0.2,4.52901994220807,4.493846,0.03517352,0.025196,0.02620021,-0.001004205,1,0
0.1472,0.2,4.54955977990995,4.511903,0.03765649,0.024803,0.02577809,-0.0009750925,1,0
0.148,0.2,4.56945696985401,4.527409,0.04204837,0.024427,0.02538644,-0.0009594433,1,0
0.1488,0.2,4.58865529501307,4.540235,0.04842025,0.024066,0.02502719,-0.0009611931,1,0
0.1496,0.2,4.60710300014,4.552977,0.05412592,0.023723,0.02467405,-0.0009510524,1,0
0.1504,0.2,4.62475277620841,4.567376,0.05737664,0.023397,0.02433783,-0.0009408319,1,0
0.1512,0.2,4.64156173084497,4.581768,0.05979417,0.023089,0.02402667,-0.0009376714,1,0
0.152,0.2,4.65749134704366,4.59597,0.06152119,0.022798,0.02374526,-0.0009472611,1,0
0.1528,0.2,4.67250743206254,4.609767,0.06274047,0.022527,0.02347286,-0.0009458623,1,0
0.1536,0.2,4.68658005802263,4.62312,0.06345975,0.022273,0.02321031,-0.0009373113,1,0
0.1544,0.2,4.69968349537232,4.63597,0.06371338,0.022038,0.02295863,-0.0009206326,1,0
0.1552,0.2,4.71179614006392,4.647617,0.06417928,0.021822,0.02272387,-0.0009018666,1,0
0.156,0.2,4.72290043501927,4.658762,0.06413846,0.021624,0.02250099,-0.0008769862,1,0
0.1568,0.2,4.73298278624475,4.669377,0.06360546,0.021445,0.02229071,-0.0008457141,1,0
0.1576,0.2,4.74203347379348,4.679435,0.0625987,0.021285,0.02209373,-0.00080873,1,0
0.1584,0.2,4.7500465576625,4.688735,0.06131203,0.021144,0.02191567,-0.0007716668,1,0
0.1592,0.2,4.75701977864831,4.696326,0.06069352,0.021021,0.02177113,-0.0007501348,1,0
0.16,0.2,4.76295445416102,4.701435,0.06151984,0.020916,0.02163856,-0.0007225554,1,0
0.1608,0.2,4.76785536900386,4.705879,0.06197663,0.02083,0.02151645,-0.0006864498,1,0
0.1616,0.2,4.77173066115659,4.710913,0.06081748,0.020762,0.02141252,-0.000650516,1,0
0.1624,0.2,4.77459170264623,4.717678,0.05691411,0.020712,0.02133373,-0.0006217261,1,0
0.1632,0.2,4.7764529756442,4.723412,0.05304094,0.02068,0.02126443,-0.0005844338,1,0
0.164,0.2,4.77733194398594,4.728039,0.04929268,0.020664,0.02120606,-0.0005420586,1,0
0.1648,0.2,4.7772489203661,4.732026,0.0452233,0.020666,0.02115597,-0.000489972,1,0
0.1656,0.2,4.77622692951492,4.73516,0.04106706,0.020684,0.02111376,-0.0004297645,1,0
0.1664,0.2,4.77429156770818,4.737213,0.03707891,0.020718,0.02108056,-0.000362561,1,0
0.1672,0.2,4.77147085900199,4.737447,0.0340236,0.020767,0.02107611,-0.0003091093,1,0
0.168,0.2,4.76779510861559,4.736098,0.03169682,0.020832,0.02109672,-0.0002647176,1,0
0.1688,0.2,4.76329675390759,4.735292,0.0280048,0.020911,0.02114172,-0.0002307228,1,0
0.1696,0.2,4.75801021340499,4.733353,0.02465708,0.021004,0.0212013,-0.0001972976,1,0
0.1704,0.2,4.75197173434915,4.73031,0.02166177,0.02111,0.02127489,-0.0001648926,1,0
0.1712,0.2,4.74521923921787,4.726194,0.01902486,0.021229,0.02136189,-0.0001328874,1,0
0.172,0.2,4.73779217166893,4.721115,0.01667754,0.02136,0.02146129,-0.0001012894,1,0
0.1728,0.2,4.72973134232693,4.715683,0.01404836,0.021503,0.02156978,-6.678473e-05,1,0
0.1736,0.2,4.72107877480382,4.709417,0.01166143,0.021657,0.02168897,-3.197353e-05,1,0
0.1744,0.2,4.71187755230424,4.702358,0.009519783,0.021821,0.02181806,2.937709e-06,1,0
0.1752,0.2,4.70217166512189,4.694549,0.007622581,0.021994,0.02195623,3.777228e-05,1,0
0.176,0.2,4.69200585928452,4.686036,0.005969749,0.022176,0.02210262,7.338327e-05,1,0
0.1768,0.2,4.68142548655467,4.676867,0.004558002,0.022366,0.02225637,0.0001096331,1,0
0.1776,0.2,4.67047635594517,4.667092,0.003384033,0.022564,0.0224166,0.0001474009,1,0
0.1784,0.2,4.65920458686329,4.656762,0.002442941,0.022768,0.02258243,0.0001855715,1,0
0.1792,0.2,4.64765646396032,4.645927,0.001729512,0.022978,0.02275297,0.0002250258,1,0
0.18,0.2,4.63587829373433,4.636234,-0.0003559897,0.023193,0.02293658,0.0002564249,1,0
0.1808,0.2,4.62391626291719,4.627535,-0.003618603,0.023413,0.02313754,0.0002754622,1,0
0.1816,0.2,4.61181629867169,4.618508,-0.00669204,0.023636,0.02334263,0.0002933738,1,0
0.1824,0.2,4.59962393063252,4.609318,-0.009694326,0.023862,0.02354991,0.0003120912,1,0
0.1832,0.2,4.58738415484662,4.600003,-0.01261861,0.02409,0.02375847,0.0003315271,1,0
0.184,0.2,4.57514129970044,4.5906,-0.01545871,0.02432,0.02396743,0.0003525663,1,0
0.1848,0.2,4.5629388939663,4.581147,-0.0182083,0.02455,0.02417594,0.0003740581,1,0
0.1856,0.2,4.5508195371518,4.571682,-0.02086244,0.02478,0.02438319,0.0003968146,1,0
0.1864,0.2,4.53882477239519,4.56224,-0.02341487,0.025009,0.02458839,0.000420607,1,0
0.1872,0.2,4.52699496221198,4.552855,-0.02586053,0.025236,0.02479083,0.0004451654,1,0
0.188,0.2,4.51536916746139,4.543564,-0.02819468,0.02546,0.02498982,0.0004701771,1,0
0.1888,0.2,4.50398502996253,4.534397,-0.03041209,0.025681,0.02518471,0.0004962867,1,0
0.1896,0.2,4.49287865924689,4.525387,-0.03250815,0.025898,0.02537491,0.0005230939,1,0
0.1904,0.2,4.48208452398343,4.516562,-0.03447794,0.02611,0.02555985,0.0005501518,1,0
0.1912,0.2,4.47163534865223,4.507953,-0.03631782,0.026317,0.02573903,0.0005779728,1,0
0.192,0.2,4.46156201607181,4.499586,-0.03802361,0.026517,0.02591198,0.0006050206,1,0
0.1928,0.2,4.45189347640121,4.491484,-0.03959069,0.02671,0.02607828,0.0006317199,1,0
0.1936,0.2,4.44265666324027,4.483673,-0.04101596,0.026895,0.02623755,0.0006574489,1,0
0.1944,0.2,4.43387641744029,4.476172,-0.04229603,0.027072,0.02638945,0.0006825483,1,0
0.1952,0.2,4.42557541921145,4.469003,-0.0434273,0.02724,0.02653368,0.0007063163,1,0
0.196,0.2,4.41777412907511,4.462182,-0.04440744,0.027399,0.02666999,0.0007290097,1,0
0.1968,0.2,4.41049073815731,4.455724,-0.0452335,0.027548,0.02679815,0.0007498523,1,0
0.1976,0.2,4.40374112825813,4.449645,-0.04590344,0.027686,0.02691797,0.0007680265,1,0
0.1984,0.2,4.39753884205968,4.443954,-0.04641563,0.027813,0.02702932,0.0007836776,1,0
0.1992,0.2,4.39189506375632,4.438664,-0.04676937,0.02793,0.02713207,0.0007979266,1,0
0.2,0.2,4.38681861030582,4.433782,-0.04696301,0.028035,0.02722615,0.00080885,1,0
0.2008,0.2,4.38231593341136,4.429313,-0.04699725,0.028128,0.0273115,0.0008164998,1,0
0.2016,0.2,4.37839113225344,4.425263,-0.0468718,0.02821,0.02738811,0.0008218948,1,0
0.2024,0.2,4.37504597690014,4.421633,-0.04658727,0.02828,0.02745597,0.0008240294,1,0
0.2032,0.2,4.37227994223416,4.418426,-0.04614609,0.028337,0.02751514,0.0008218643,1,0
0.204,0.2,4.37009025214883,4.41564,-0.04554962,0.028383,0.02756566,0.0008173363,1,0
0.2048,0.2,4.36847193368235,4.413272,-0.04480045,0.028417,0.02760764,0.0008093616,1,0
0.2056,0.2,4.36741788068157,4.411321,-0.04390281,0.028439,0.02764118,0.0007978247,1,0
0.2064,0.2,4.36691892651541,4.409826,-0.04290688,0.028449,0.02767211,0.0007768936,1,0
0.2072,0.2,4.36696392529222,4.408773,-0.04180902,0.028448,0.02769952,0.0007484792,1,0
0.208,0.2,4.36753984097736,4.40799,-0.04044966,0.028436,0.02771924,0.0007167575,1,0
0.2088,0.2,4.36863184375648,4.406898,-0.03826618,0.028414,0.02773735,0.0006766545,1,0
0.2096,0.2,4.37022341294678,4.406306,-0.03608238,0.02838,0.02774558,0.0006344215,1,0
0.2104,0.2,4.37229644572331,4.406199,-0.03390301,0.028337,0.02774419,0.0005928111,1,0
0.2112,0.2,4.37483137089988,4.406565,-0.03173334,0.028284,0.02773345,0.0005505548,1,0
0.212,0.2,4.37780726698502,4.407386,-0.02957904,0.028222,0.02771364,0.0005083566,1,0
